Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
4,5266.702473,619.1429496,3055.935501,422.2382651,50000
4.01,5264.486995,619.4283207,3062.050345,422.3849507,50000
4.02,5262.26877,619.7123528,3068.16201,422.5306538,50000
4.03,5260.047842,619.9950546,3074.270507,422.6753842,50000
4.04,5257.824254,620.276435,3080.375845,422.8191512,50000
4.05,5255.59805,620.5565027,3086.478036,422.9619646,50000
4.06,5253.369273,620.8352664,3092.577088,423.103834,50000
4.07,5251.137967,621.112735,3098.673012,423.2447689,50000
4.08,5248.904175,621.3889173,3104.765818,423.384779,50000
4.09,5246.667942,621.6638219,3110.855517,423.5238739,50000
4.1,5244.42931,621.9374578,3116.942117,423.6620631,50000
4.11,5242.188323,622.2098336,3123.025631,423.7993562,50000
4.12,5239.945024,622.4809582,3129.106066,423.9357629,50000
4.13,5237.699458,622.7508402,3135.183435,424.0712928,50000
4.14,5235.451668,623.0194886,3141.257746,424.2059555,50000
4.15,5233.201696,623.286912,3147.32901,424.3397605,50000
4.16,5230.949588,623.5531193,3153.397237,424.4727176,50000
4.17,5228.695386,623.8181192,3159.462437,424.6048361,50000
4.18,5226.439134,624.0819205,3165.52462,424.7361259,50000
4.19,5224.180876,624.344532,3171.583797,424.8665964,50000
4.2,5221.920654,624.6059624,3177.639977,424.9962573,50000
4.21,5219.658514,624.8662206,3183.693171,425.1251182,50000
4.22,5217.394497,625.1253152,3189.743388,425.2531887,50000
4.23,5215.128648,625.3832552,3195.790639,425.3804784,50000
4.24,5212.86101,625.6400492,3201.834934,425.5069968,50000
4.25,5210.591627,625.8957061,3207.876282,425.6327537,50000
4.26,5208.320543,626.1502345,3213.914695,425.7577585,50000
4.27,5206.0478,626.4036434,3219.950182,425.8820209,50000
4.28,5203.773443,626.6559414,3225.982754,426.0055506,50000
4.29,5201.497515,626.9071373,3232.012419,426.128357,50000
4.3,5199.220059,627.15724,3238.03919,426.2504498,50000
4.31,5196.941119,627.4062582,3244.063074,426.3718386,50000
4.32,5194.66074,627.6542006,3250.084084,426.492533,50000
4.33,5192.378963,627.9010761,3256.102228,426.6125426,50000
4.34,5190.095833,628.1468934,3262.117518,426.7318771,50000
4.35,5187.811393,628.3916613,3268.129962,426.8505459,50000
4.36,5185.525688,628.6353886,3274.139572,426.9685587,50000
4.37,5183.238759,628.8780841,3280.146357,427.0859252,50000
4.38,5180.950652,629.1197565,3286.150327,427.2026549,50000
